name,id,lan cuoc,tien,gio

lemanh,1234,9,773459thơi gian thực hiện,10:30:36.329315500,20/11/2022
lemanh,1234,9,773459thơi gian thực hiện,10:31:00.723660200,20/11/2022
lemanh,1234,8,773458thơi gian thực hiện,10:31:00.723660200,20/11/2022
lemanh,1234,9,773459thơi gian thực hiện,10:31:04.551845,20/11/2022
lemanh,1234,8,773458thơi gian thực hiện,10:31:04.551845,20/11/2022
lemanh,1234,9,773460thơi gian thực hiện,10:31:04.551845,20/11/2022
lemanh,1234,9,773459thơi gian thực hiện,10:31:14.669315600,20/11/2022
lemanh,1234,8,773458thơi gian thực hiện,10:31:14.669315600,20/11/2022
lemanh,1234,9,773460thơi gian thực hiện,10:31:14.669315600,20/11/2022
lemanh,1234,8,773461thơi gian thực hiện,10:31:14.669315600,20/11/2022